"id","full_name","age","gender","device_type","ad_position","browsing_history","time_of_day","click"
"3007","User3007","42","Male","Desktop","Top","Shopping","Night","0"
"1325","User1325","","","","Side","","Evening","1"
"756","User756","","","","","","Evening","0"
"5194","User5194","53","Male","Mobile","Top","","","1"
"4611","User4611","20","Female","Tablet","","Social Media","Night","0"
"8041","User8041","","","Mobile","Bottom","","Afternoon","1"
"6258","User6258","","","Tablet","Top","","Night","1"
"3375","User3375","52","","Mobile","Bottom","Education","Morning","1"
"7805","User7805","36","Male","Mobile","","","Afternoon","0"
"3062","User3062","34","Male","Desktop","Bottom","Entertainment","Evening","1"
"6449","User6449","42","","Desktop","Top","Shopping","Night","1"
"5439","User5439","38","","Tablet","Side","Social Media","Afternoon","1"
"1914","User1914","42","","","Bottom","Shopping","","1"
"9732","User9732","27","Male","Desktop","","Education","Evening","0"
"5642","User5642","57","","Tablet","Bottom","News","Morning","0"
"9689","User9689","","Male","Desktop","Bottom","","","1"
"7655","User7655","39","","","Bottom","","","0"
"5780","User5780","","","Mobile","Bottom","Entertainment","","1"
"2976","User2976","","","","","Shopping","Afternoon","0"
"6262","User6262","","","","Bottom","","Morning","0"
"3663","User3663","","","Mobile","","Social Media","","0"
"2757","User2757","35","Female","Mobile","Bottom","Social Media","Night","0"
"6974","User6974","53","","Desktop","Side","Education","Evening","0"
"1486","User1486","","","Desktop","Side","","Morning","0"
"606","User606","","","","Bottom","Entertainment","Afternoon","1"
"1612","User1612","40","","Mobile","Side","News","Evening","1"
"3225","User3225","23","","","Bottom","Entertainment","Morning","1"
"8817","User8817","","Male","Tablet","Bottom","","Night","1"
"1020","User1020","","","Mobile","Side","Education","Morning","1"
"1635","User1635","54","Female","","Top","","","1"
"3776","User3776","","","","Top","Social Media","Evening","0"
"5412","User5412","35","","Mobile","Top","","Evening","1"
"6989","User6989","28","Male","Mobile","","Shopping","Afternoon","1"
"8018","User8018","","","Desktop","Side","","Night","1"
"2529","User2529","","Female","Desktop","","","Afternoon","1"
"3285","User3285","","Male","Tablet","Side","News","","0"
"2156","User2156","46","Female","Tablet","Side","","","1"
"8530","User8530","52","Female","Mobile","Top","Social Media","Afternoon","1"
"9418","User9418","20","Male","","Side","News","","1"
"8190","User8190","26","","Mobile","Side","","Afternoon","1"
"1140","User1140","28","Male","","Side","","Evening","0"
"3149","User3149","","Male","Desktop","Top","","Night","0"
"5629","User5629","","","Tablet","","","Night","1"
"4086","User4086","","Female","Desktop","Top","Entertainment","Morning","1"
"6449","User6449","","","Desktop","Top","Shopping","Night","1"
"9699","User9699","","Female","","","Shopping","Morning","0"
"8068","User8068","","Female","Mobile","Side","Shopping","Afternoon","0"
"5082","User5082","44","Female","Mobile","Top","","Afternoon","1"
"1345","User1345","34","","Desktop","Top","Entertainment","","0"
"4938","User4938","","Male","Desktop","Side","Social Media","Evening","1"
"5623","User5623","53","","Desktop","Side","","Morning","1"
"5329","User5329","54","Male","Tablet","Side","","Evening","1"
"9990","User9990","25","Male","Desktop","Side","","Night","1"
"3746","User3746","","Male","Desktop","Top","","Morning","1"
"5955","User5955","","","Tablet","","","Evening","1"
"5100","User5100","42","","Mobile","Side","Shopping","Morning","1"
"6129","User6129","36","","Tablet","Bottom","","Evening","1"
"3215","User3215","33","Male","Mobile","Side","","Afternoon","0"
"4151","User4151","","","Desktop","","","Evening","0"
"8176","User8176","","Male","Desktop","Top","News","Afternoon","0"
"1908","User1908","26","Male","Mobile","Bottom","","Evening","1"
"4212","User4212","","","","","News","","0"
"9137","User9137","35","Female","Desktop","Side","Social Media","","0"
"933","User933","41","Female","Tablet","","Entertainment","Night","0"
"4779","User4779","","","Tablet","Top","","Afternoon","0"
"4925","User4925","47","","Desktop","Side","Entertainment","Evening","0"
"6167","User6167","20","Male","Mobile","Side","Shopping","Night","1"
"3818","User3818","27","","Desktop","Top","Shopping","Night","0"
"7779","User7779","36","","Desktop","","","Morning","0"
"1612","User1612","40","","Mobile","Side","News","Evening","1"
"6441","User6441","","","Desktop","Top","","Night","1"
"7808","User7808","26","Female","Desktop","Top","","Night","1"
"550","User550","","","Desktop","Top","","Morning","0"
"1612","User1612","40","","Mobile","Side","News","Evening","1"
"3644","User3644","","Female","Mobile","Side","Entertainment","Evening","1"
"7422","User7422","","Female","Desktop","Top","","Evening","1"
"8222","User8222","27","","Tablet","Side","News","Afternoon","1"
"4450","User4450","45","Female","Mobile","Top","","Evening","0"
"3277","User3277","","","Mobile","Side","News","","0"
"8174","User8174","20","Female","Mobile","Bottom","","","1"
"1127","User1127","","","Desktop","","","Afternoon","1"
"3345","User3345","","Male","Desktop","","","Night","1"
"6553","User6553","","","Desktop","Bottom","Education","Morning","1"
"453","User453","","Female","Tablet","Top","Entertainment","Afternoon","1"
"4345","User4345","","","Desktop","Bottom","Education","Afternoon","0"
"6268","User6268","","","Desktop","","","Night","1"
"329","User329","36","","Desktop","Top","","Night","0"
"9266","User9266","38","","Mobile","","Education","Afternoon","1"
"8561","User8561","52","Male","Mobile","Bottom","","Evening","1"
"7272","User7272","","","Tablet","","News","Afternoon","0"
"234","User234","19","","Tablet","Bottom","Social Media","Morning","1"
"255","User255","","","Desktop","Bottom","Entertainment","Night","1"
"2129","User2129","47","","Tablet","Bottom","Social Media","Evening","1"
"7678","User7678","53","Female","Desktop","Top","Social Media","Night","0"
"2173","User2173","","","","Bottom","Shopping","Night","1"
"5571","User5571","","Female","Desktop","Side","","Evening","0"
"9611","User9611","","Male","Desktop","Side","Entertainment","Afternoon","1"
"5737","User5737","29","","Desktop","Top","Shopping","Night","0"
"7471","User7471","","Female","Mobile","Bottom","","Morning","1"
"9811","User9811","","","Mobile","Side","","Morning","0"
"8115","User8115","20","Female","Mobile","Top","Social Media","Afternoon","1"
"217","User217","","","Tablet","","Education","Morning","0"
"234","User234","","Female","","","Social Media","Morning","1"
"6864","User6864","","","Desktop","Side","Social Media","Evening","0"
"6462","User6462","36","","Tablet","Side","Education","Evening","1"
"1214","User1214","26","Female","Mobile","Bottom","News","Evening","1"
"3543","User3543","55","","","Top","","Night","1"
"3236","User3236","56","Female","Mobile","Bottom","Education","Morning","1"
"8957","User8957","","","","Top","","Morning","1"
"1214","User1214","26","Female","Mobile","","","Evening","1"
"6576","User6576","62","Female","Desktop","Bottom","Entertainment","Morning","1"
"6602","User6602","","Female","Desktop","","","","1"
"9400","User9400","","","Mobile","Side","Education","","1"
"1020","User1020","","","","Side","","Morning","1"
"4228","User4228","","","Desktop","Side","","Morning","1"
"7659","User7659","19","","Mobile","Top","News","Night","0"
"2003","User2003","","","Desktop","Bottom","News","Afternoon","0"
"9736","User9736","46","","","","Education","","1"
"487","User487","28","Male","Mobile","Side","","Afternoon","1"
"4429","User4429","","","","Top","Entertainment","Morning","1"
"998","User998","","","Tablet","Top","","Evening","1"
"8226","User8226","","","Tablet","","","Morning","1"
"9220","User9220","21","Female","Mobile","Side","","Night","1"
"4841","User4841","21","Female","","Side","Education","Evening","0"
"8316","User8316","","Male","Desktop","Bottom","","","0"
"9290","User9290","61","","Desktop","Bottom","","","1"
"9431","User9431","","Male","Mobile","Top","","Afternoon","1"
"885","User885","49","","Tablet","Side","","Afternoon","0"
"7866","User7866","","","Mobile","","Social Media","Morning","1"
"1110","User1110","43","","Mobile","Side","Entertainment","","0"
"1539","User1539","43","","Mobile","Bottom","Education","Evening","1"
"2722","User2722","39","","Desktop","Top","","Evening","1"
"5890","User5890","56","Female","Mobile","Bottom","News","Night","1"
"5062","User5062","","Male","Tablet","Bottom","","Night","0"
"6125","User6125","18","","","","","Afternoon","0"
"2133","User2133","","","Tablet","Side","Shopping","","0"
"3014","User3014","","","Mobile","Top","","","1"
"6619","User6619","36","","Tablet","Bottom","Social Media","Evening","0"
"579","User579","","","Tablet","Side","Entertainment","Evening","0"
"3938","User3938","","Male","Mobile","","","","1"
"949","User949","","","Desktop","Top","Social Media","Morning","0"
"6145","User6145","","Female","","Side","Education","Evening","0"
"9075","User9075","36","Female","Mobile","","","","1"
"3658","User3658","","","","Side","Shopping","Night","1"
"6602","User6602","","","Desktop","Side","","Night","1"
"2760","User2760","55","","","Top","","Morning","0"
"4616","User4616","","Female","","Side","","Evening","0"
"1503","User1503","19","Female","Tablet","Side","","Afternoon","1"
"9550","User9550","58","","Desktop","Top","Education","Afternoon","1"
"5522","User5522","19","","Desktop","Bottom","","Night","0"
"5733","User5733","","","Mobile","Bottom","","Morning","0"
"4957","User4957","58","Male","","Bottom","Social Media","Evening","1"
"6771","User6771","","","","Side","","Morning","1"
"8442","User8442","54","","Tablet","Bottom","News","Evening","0"
"393","User393","","","Desktop","Bottom","Shopping","Morning","1"
"8252","User8252","","Male","","Side","","Night","1"
"8947","User8947","22","Male","","","Entertainment","","1"
"6423","User6423","","","Tablet","Side","Shopping","Afternoon","0"
"670","User670","22","","Desktop","","Shopping","Afternoon","1"
"9245","User9245","","","Tablet","Top","Education","Morning","0"
"3232","User3232","22","","Tablet","Bottom","","Night","0"
"6479","User6479","","Male","Tablet","Side","","Afternoon","1"
"8226","User8226","","Male","Tablet","Top","","","1"
"4254","User4254","19","Male","Desktop","Bottom","","Afternoon","1"
"1099","User1099","36","Male","Tablet","Top","Shopping","Night","0"
"3641","User3641","","","Tablet","","","Night","1"
"3014","User3014","","","Mobile","Top","","Afternoon","1"
"9806","User9806","58","Male","","Bottom","","Evening","1"
"6883","User6883","32","Male","Desktop","Side","News","Afternoon","0"
"1470","User1470","25","Male","Tablet","Top","Social Media","Evening","0"
"645","User645","","","Tablet","Side","","Morning","0"
"4015","User4015","","Male","","Side","","","1"
"8208","User8208","","Female","Tablet","Top","Education","Evening","1"
"5425","User5425","","","Mobile","Side","Entertainment","Afternoon","1"
"4874","User4874","","Male","Mobile","","News","","0"
"1914","User1914","","Male","","Bottom","Shopping","","1"
"4950","User4950","28","Male","Mobile","","","Morning","1"
"24","User24","","","Tablet","Side","","","1"
"7450","User7450","","","Desktop","Side","News","Night","1"
"2019","User2019","42","","Tablet","Top","","Night","0"
"1446","User1446","","","Desktop","Bottom","News","Night","1"
"7750","User7750","46","","Mobile","Side","Social Media","Morning","1"
"2337","User2337","40","Male","Desktop","Top","Entertainment","","1"
"4178","User4178","41","Male","","Top","","Morning","0"
"6487","User6487","19","Male","","Side","","","1"
"3057","User3057","","Female","","Top","Entertainment","Afternoon","0"
"6765","User6765","46","Female","","","Entertainment","Morning","1"
"5193","User5193","50","Female","Desktop","","Education","Afternoon","1"
"4773","User4773","59","Male","Desktop","Top","Entertainment","","0"
"9128","User9128","","","","Top","","Morning","0"
"9075","User9075","36","Female","Mobile","","","Night","1"
"8372","User8372","52","","Desktop","Top","","Afternoon","0"
"8334","User8334","","Male","Desktop","Top","","Evening","0"
"1965","User1965","","","Tablet","","Shopping","Morning","0"
"5403","User5403","61","Male","Desktop","Top","Education","Night","0"
"3333","User3333","30","Male","Tablet","Top","","Evening","1"
"9617","User9617","63","","Tablet","","Shopping","","1"
"7792","User7792","","Male","Mobile","Bottom","","Evening","0"
"3708","User3708","43","Male","Desktop","Top","","Evening","0"
"3280","User3280","29","","Tablet","Side","","Morning","0"
"2529","User2529","","","Desktop","Top","","Afternoon","1"
"8832","User8832","49","","Tablet","Side","","Night","1"
"5945","User5945","42","Male","Desktop","Side","","","0"
"9723","User9723","","Female","Mobile","Side","","Evening","1"
"6268","User6268","","","Desktop","Top","","Night","1"
"5664","User5664","32","Male","Mobile","Top","","","0"
"6268","User6268","","","Desktop","Top","","Night","1"
"1945","User1945","20","","Tablet","Side","Entertainment","","1"
"8058","User8058","25","","Mobile","","","Afternoon","0"
"560","User560","","","Desktop","Side","Social Media","Morning","0"
"9806","User9806","58","Male","Tablet","Bottom","","","1"
"2336","User2336","32","","Tablet","Side","","Morning","1"
"7466","User7466","47","","Mobile","Bottom","Shopping","Afternoon","1"
"4587","User4587","","","Tablet","Top","","","0"
"1369","User1369","","","","","Social Media","Morning","1"
"9162","User9162","","","Mobile","Top","","Night","0"
"1325","User1325","","","Desktop","Side","","Evening","1"
"373","User373","34","Female","Mobile","","Education","Evening","1"
"1148","User1148","25","","Mobile","Bottom","","","1"
"6167","User6167","20","Male","Mobile","Side","","Night","1"
"5276","User5276","","","Tablet","Side","Shopping","Afternoon","1"
"5338","User5338","51","Male","Mobile","Top","Social Media","Morning","1"
"6462","User6462","","","Tablet","Side","Education","Evening","1"
"9266","User9266","38","","Mobile","","Education","Afternoon","1"
"1540","User1540","45","","Tablet","Top","","Evening","0"
"6188","User6188","20","","","Bottom","Entertainment","Morning","1"
"7988","User7988","","","Mobile","Bottom","News","Evening","0"
"9789","User9789","","","Tablet","","","Morning","1"
"346","User346","29","Male","Mobile","Top","News","Evening","0"
"6160","User6160","","","Tablet","","","Evening","0"
"1549","User1549","56","","Desktop","Top","","Afternoon","1"
"6980","User6980","62","","","Bottom","Social Media","Night","1"
"5951","User5951","41","Female","Tablet","Top","","Evening","0"
"5193","User5193","50","Female","Desktop","","Education","","1"
"7526","User7526","","","","Side","","Evening","1"
"8956","User8956","","Male","Tablet","Top","","Morning","1"
"1601","User1601","41","","Tablet","Top","Education","Morning","0"
"8189","User8189","","","Tablet","Top","Shopping","","0"
"8190","User8190","26","","Mobile","Side","","","1"
"7973","User7973","28","","Mobile","Bottom","","Morning","1"
"5629","User5629","","","Tablet","Top","","","1"
"4015","User4015","44","Male","Tablet","Side","","Evening","1"
"1305","User1305","","Female","Tablet","Top","News","Night","1"
"6880","User6880","","Female","Mobile","Side","News","Night","1"
"2650","User2650","53","","Desktop","Side","","Morning","0"
"4236","User4236","51","","Desktop","Bottom","","Night","0"
"9173","User9173","49","","Desktop","Side","Education","Evening","0"
"6161","User6161","","Female","","Bottom","","Afternoon","1"
"5766","User5766","63","Male","Desktop","Side","Social Media","Evening","1"
"1141","User1141","37","","Desktop","","","Afternoon","1"
"393","User393","","","Desktop","Bottom","Shopping","","1"
"3759","User3759","","","Mobile","Top","","","0"
"3854","User3854","56","","Tablet","Bottom","Social Media","Afternoon","1"
"9231","User9231","21","","Desktop","Top","Shopping","","1"
"3561","User3561","37","","Desktop","","Social Media","Evening","1"
"9855","User9855","","","Desktop","Bottom","","Morning","1"
"1445","User1445","44","Female","Mobile","Top","","","0"
"6811","User6811","24","Male","Mobile","Bottom","Education","Evening","1"
"7448","User7448","","Male","Tablet","Side","Entertainment","","0"
"1214","User1214","26","Female","Mobile","","News","Evening","1"
"1557","User1557","","","","Bottom","","Night","0"
"1171","User1171","","Female","Mobile","Bottom","","Night","1"
"966","User966","54","Male","Desktop","Bottom","","Night","1"
"4015","User4015","44","Male","","Side","","Evening","1"
"7652","User7652","","Male","Mobile","Bottom","Education","Morning","1"
"315","User315","","","Desktop","Side","Social Media","","1"
"4462","User4462","52","","Tablet","Bottom","","Afternoon","1"
"3164","User3164","","Female","Desktop","Bottom","","Evening","1"
"5483","User5483","52","","Tablet","Side","Education","","0"
"2722","User2722","39","","Desktop","Top","","Evening","1"
"3570","User3570","56","Female","Mobile","Side","","Evening","0"
"7748","User7748","57","Female","Desktop","Top","News","Night","0"
"5922","User5922","62","Female","Mobile","Side","Entertainment","Afternoon","0"
"3429","User3429","59","","Tablet","Side","","Morning","1"
"6467","User6467","30","","Desktop","Side","","Morning","1"
"3990","User3990","28","","Tablet","Side","Social Media","","1"
"7670","User7670","54","Female","","Top","Education","Night","1"
"5993","User5993","","","Desktop","Bottom","Entertainment","Evening","0"
"1368","User1368","","Female","","Top","","Afternoon","0"
"6602","User6602","","Female","Desktop","Side","","Night","1"
"866","User866","","Male","Mobile","Bottom","Education","Night","0"
"8789","User8789","44","Female","","","Entertainment","Evening","1"
"3042","User3042","","","Mobile","Side","Social Media","Afternoon","1"
"1741","User1741","45","","Mobile","Bottom","","Night","1"
"3523","User3523","22","Male","Desktop","Bottom","","Morning","0"
"5082","User5082","","Female","Mobile","Top","Shopping","Afternoon","1"
"5055","User5055","45","","Desktop","Top","Education","Morning","1"
"9695","User9695","26","Male","Desktop","Side","Entertainment","Night","0"
"9057","User9057","","","Desktop","Side","","","1"
"2129","User2129","","","Tablet","","Social Media","Evening","1"
"3644","User3644","","Female","","Side","Entertainment","Evening","1"
"4883","User4883","","Female","","Top","","Night","0"
"3236","User3236","56","Female","Mobile","Bottom","","Morning","1"
"2311","User2311","","","Desktop","Bottom","","Afternoon","1"
"416","User416","","","","Bottom","Social Media","Morning","0"
"770","User770","","","","Bottom","","Evening","1"
"2174","User2174","36","Female","Desktop","Bottom","","Afternoon","1"
"301","User301","59","Male","","Side","Social Media","Evening","1"
"9146","User9146","58","","Desktop","Top","","Afternoon","1"
"5412","User5412","35","","Mobile","Top","","","1"
"6202","User6202","","Female","Tablet","Bottom","Shopping","","1"
"8581","User8581","49","","Mobile","","","Morning","0"
"9151","User9151","22","Male","","Top","","Evening","0"
"4762","User4762","24","","Mobile","Side","Shopping","Morning","0"
"9966","User9966","","","","Top","","Afternoon","1"
"3430","User3430","61","Male","Desktop","Side","Social Media","Morning","1"
"5487","User5487","","","","Bottom","","Night","0"
"8978","User8978","","","Desktop","Side","","Morning","0"
"265","User265","30","","","Bottom","","Afternoon","0"
"2272","User2272","","","","Bottom","","","1"
"1171","User1171","","Female","Mobile","Bottom","","Night","1"
"1805","User1805","","","Mobile","Top","","Afternoon","1"
"8222","User8222","27","","Tablet","Side","News","Afternoon","1"
"5498","User5498","","Female","Tablet","Side","Education","Morning","1"
"9670","User9670","56","","Desktop","Top","Shopping","Afternoon","0"
"6602","User6602","","Female","Desktop","Side","","Night","1"
"4462","User4462","52","","Tablet","Bottom","","Afternoon","1"
"5095","User5095","","Female","","","","Afternoon","0"
"3330","User3330","49","Male","","","News","Afternoon","1"
"9816","User9816","","Male","Desktop","","Entertainment","Morning","0"
"9516","User9516","28","","Desktop","Top","","Morning","1"
"805","User805","","","Desktop","Bottom","","","1"
"1127","User1127","","","","Side","","Afternoon","1"
"6211","User6211","34","Female","Mobile","Top","","Night","0"
"2595","User2595","","Female","Desktop","Bottom","","Morning","1"
"9736","User9736","46","","Desktop","Bottom","","Evening","1"
"228","User228","46","","","Top","Social Media","Evening","1"
"2178","User2178","","","Desktop","","Social Media","","0"
"5921","User5921","","","Desktop","Side","","Morning","1"
"4559","User4559","30","Female","Desktop","Bottom","News","Night","0"
"1126","User1126","31","","","Side","","Afternoon","1"
"1741","User1741","45","","Mobile","Bottom","","Night","1"
"6874","User6874","","Female","Mobile","Side","News","Afternoon","0"
"5056","User5056","","","Tablet","Side","Social Media","","0"
"5005","User5005","49","Male","Desktop","Top","Shopping","","1"
"1454","User1454","","Female","","Top","","Morning","1"
"3543","User3543","55","","Tablet","","","","1"
"7057","User7057","43","","Tablet","Side","News","Night","0"
"2196","User2196","","","Desktop","Top","News","Morning","0"
"5198","User5198","47","","Desktop","Bottom","Education","","1"
"6100","User6100","","","Desktop","Bottom","Education","Night","1"
"1446","User1446","","","Desktop","Bottom","News","Night","1"
"8726","User8726","","Female","Desktop","Side","Education","Morning","1"
"7139","User7139","","","Desktop","Side","News","Afternoon","0"
"8726","User8726","62","Female","Desktop","Side","Education","Morning","1"
"92","User92","","","Tablet","Top","Shopping","Morning","0"
"2823","User2823","46","","Mobile","Top","","","0"
"6174","User6174","35","Male","","Side","Entertainment","Morning","0"
"9806","User9806","","Male","Tablet","Bottom","","Evening","1"
"9157","User9157","","","Mobile","Bottom","","Morning","1"
"5418","User5418","","Male","","","Entertainment","Evening","1"
"210","User210","28","Male","Tablet","Top","","Afternoon","0"
"7688","User7688","57","Male","","Top","","Evening","1"
"2804","User2804","","Female","Tablet","Bottom","Education","Evening","1"
"4890","User4890","43","","Tablet","","Education","Afternoon","1"
"6202","User6202","","Female","Tablet","Bottom","","Night","1"
"7466","User7466","47","","Mobile","Bottom","Shopping","","1"
"6669","User6669","38","Female","","","News","Night","1"
"5890","User5890","56","Female","Mobile","Bottom","","","1"
"8400","User8400","","","Tablet","Bottom","Entertainment","Afternoon","1"
"2032","User2032","36","","","Bottom","","Morning","1"
"2124","User2124","","Male","Desktop","Top","","","1"
"1743","User1743","47","","","","News","","0"
"4015","User4015","","Male","Tablet","Side","","Evening","1"
"6296","User6296","29","","Desktop","","Education","Evening","1"
"9412","User9412","","","Mobile","Bottom","Social Media","Morning","1"
"8278","User8278","","","Mobile","Top","","Morning","1"
"5629","User5629","","","Tablet","Top","","Night","1"
